dataset,dimension_1,dimension_2,dimension_3,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value
error_message,customEvent:error_message,Failed to make WebSocket port 3055 available,,eventCount,1610,activeUsers,246,,,
error_message,customEvent:error_message,Not connected to Figma,,eventCount,285,activeUsers,29,,,
acquisition,firstUserSourceMedium,(direct) / (none),,activeUsers,31360,sessions,24429,eventCount,1826813,
acquisition,sessionSourceMedium,(not set),,activeUsers,31360,sessions,24429,eventCount,1826813,
category_label,customEvent:category,server_management,WebSocket server started,activeUsers,21115,eventCount,23898,,,
category_label,customEvent:category,figma,Direct OAuth from Menu,activeUsers,3016,eventCount,4382,,,
category_label,customEvent:category,ui_interaction,config_dialog_copy_button,activeUsers,1495,eventCount,2448,,,
category_label,customEvent:category,direct_oauth_success,Direct OAuth completed,activeUsers,1620,eventCount,2124,,,
category_label,customEvent:category,emergency_action,All servers killed,activeUsers,540,eventCount,1017,,,
category_label,customEvent:category,ui_interaction,Report an Issue,activeUsers,99,eventCount,133,,,
page_title,pageTitle,Step 1: Open MCP Configuration (windows),,activeUsers,6772,screenPageViews,7775,eventCount,7775,
page_title,pageTitle,Step 2: Run Figma Plugin (windows),,activeUsers,3545,screenPageViews,4261,eventCount,4261,
page_title,pageTitle,Step 3: Do MCP Magic (windows),,activeUsers,3042,screenPageViews,3439,eventCount,3439,
page_title,pageTitle,Step 4: Figma OAuth (Optional) (windows),,activeUsers,2866,screenPageViews,3016,eventCount,3016,
page_title,pageTitle,Step 1: Open MCP Configuration (mac),,activeUsers,2474,screenPageViews,3232,eventCount,3232,
page_title,pageTitle,MCP Configuration Dialog,,activeUsers,2174,screenPageViews,3675,eventCount,3675,
page_title,pageTitle,Server Error Dialog,,activeUsers,1033,screenPageViews,1925,eventCount,1925,
page_path,pagePath,/tutorial/windows/step1,,activeUsers,6772,screenPageViews,7775,eventCount,7775,
page_path,pagePath,/tutorial/windows/step2,,activeUsers,3543,screenPageViews,4259,eventCount,4259,
page_path,pagePath,/tutorial/windows/step3,,activeUsers,3043,screenPageViews,3443,eventCount,3443,
page_path,pagePath,/tutorial/windows/step4,,activeUsers,2869,screenPageViews,3023,eventCount,3023,
page_path,pagePath,/tutorial/mac/step1,,activeUsers,2474,screenPageViews,3232,eventCount,3232,
page_path,pagePath,/mcp/config,,activeUsers,2174,screenPageViews,3675,eventCount,3675,
page_path,pagePath,/error/server-connection,,activeUsers,1033,screenPageViews,1925,eventCount,1925,
audit_no_new_insight,browser,(not set),,activeUsers,31352,sessions,24429,eventCount,1826807,
audit_no_new_insight,newVsReturning,new,,activeUsers,30864,sessions,24065,eventCount,1823621,
audit_no_new_insight,customEvent:value,(not set),,activeUsers,30915,eventCount,1823862,,,
audit_no_new_insight,pageReferrer,empty,,activeUsers,31360,screenPageViews,52463,eventCount,1826813,
audit_no_new_insight,firstUserDefaultChannelGroup,Direct,,activeUsers,31360,sessions,24429,eventCount,1826813,
audit_no_new_insight,streamName,TalkToFigma Desktop,,activeUsers,31360,sessions,24429,eventCount,1826813,
